states,year,quarter,brand,user_counts,percentage,district,registered_user_counts,trans_type,trans_counts,amount
andaman-&-nicobar-islands,2018,1,Xiaomi,1665.0,0.247032640949554,,,,,
andaman-&-nicobar-islands,2018,1,Samsung,1445.0,0.214391691394658,,,,,
andaman-&-nicobar-islands,2018,1,Vivo,982.0,0.145697329376854,,,,,
andaman-&-nicobar-islands,2018,1,Oppo,501.0,0.074332344213649,,,,,
andaman-&-nicobar-islands,2018,1,OnePlus,332.0,0.049258160237388,,,,,
andaman-&-nicobar-islands,2018,1,Realme,316.0,0.046884272997032,,,,,
andaman-&-nicobar-islands,2018,1,Apple,229.0,0.033976261127596,,,,,
andaman-&-nicobar-islands,2018,1,Motorola,226.0,0.033531157270029,,,,,
andaman-&-nicobar-islands,2018,1,Lenovo,202.0,0.029970326409495,,,,,
andaman-&-nicobar-islands,2018,1,Huawei,158.0,0.023442136498516,,,,,
andaman-&-nicobar-islands,2018,1,Others,684.0,0.101483679525222,,,,,
andaman-&-nicobar-islands,2018,2,Xiaomi,2303.0,0.244869750132908,,,,,
andaman-&-nicobar-islands,2018,2,Samsung,1923.0,0.204465709728867,,,,,
andaman-&-nicobar-islands,2018,2,Vivo,1523.0,0.161935140882509,,,,,
andaman-&-nicobar-islands,2018,2,Oppo,708.0,0.075279106858054,,,,,
andaman-&-nicobar-islands,2018,2,OnePlus,466.0,0.049548112706007,,,,,
andaman-&-nicobar-islands,2018,2,Realme,465.0,0.049441786283891,,,,,
andaman-&-nicobar-islands,2018,2,Motorola,319.0,0.03391812865497,,,,,
andaman-&-nicobar-islands,2018,2,Apple,308.0,0.032748538011695,,,,,
andaman-&-nicobar-islands,2018,2,Lenovo,244.0,0.025943646996278,,,,,
andaman-&-nicobar-islands,2018,2,Huawei,230.0,0.024455077086656,,,,,
andaman-&-nicobar-islands,2018,2,Others,916.0,0.09739500265816,,,,,
andaman-&-nicobar-islands,2018,3,Xiaomi,2950.0,0.242818338957938,,,,,
andaman-&-nicobar-islands,2018,3,Samsung,2409.0,0.198287924932093,,,,,
